Chr,Start,End,Peak-name,T1-vs-T0 Peak Status,T2-vs-T1 Peak Status,T2-vs-T0 Peak Status,Overall Trend,Gene symbol - closest DE gene,Distance to nearest DE gene,Peak class for CLOSEST DE gene,upstream or downstream,OTHER DE genes within 250kb,Distance to nearest DE gene,OTHER DE genes within 250kb,Distance to nearest DE gene,,
18,23215696,23216197,chr18-23215696-23216197,Stable,Closing,Closing,23,Dtna,198938,,,,,,,,
4,116672682,116673183,chr4-116672682-116673183,Stable,Closing,Closing,23,Prdx1,12361,,,,,,,,
12,16866376,16866877,chr12-16866376-16866877,Stable,Closing,Closing,23,2410004P03Rik,136442,,,,,,,,
9,100488076,100488577,chr9-100488076-100488577,Stable,Closing,Closing,23,Slc35g2,63611,,,,,,,,
16,22766920,22767421,chr16-22766920-22767421,Stable,Closing,Closing,23,Crygs,37782,,,,,,,,
3,122682248,122682749,chr3-122682248-122682749,Stable,Closing,Closing,23,Usp53,248744,,,,,,,,
7,78243815,78244316,chr7-78243815-78244316,Stable,Closing,Closing,23,Ntrk3,-67856,,,,,,,,
1,127860001,127860621,chr1-127860001-127860621,Stable,Closing,Closing,23,Map3k19,-45210,,,,,,,,
5,147063377,147063878,chr5-147063377-147063878,Stable,Closing,Closing,23,Rasl11a,-218306,,,,,,,,
7,89809382,89809883,chr7-89809382-89809883,Stable,Closing,Closing,23,Ccdc81,56265,,,Me3,-176990,,,,
11,106846014,106846515,chr11-106846014-106846515,Stable,Closing,Closing,23,1810010H24Rik,179166,,,,,,,,
1,158919139,158919640,chr1-158919139-158919640,Stable,Closing,Closing,23,Pappa2,-207412,,,,,,,,
3,29151930,29152431,chr3-29151930-29152431,Stable,Stable,Closing,26,Egfem1,-69907,,,,,,,,
3,60195928,60196429,chr3-60195928-60196429,Stable,Closing,Closing,23,Sucnr1,-114059,,,,,,,,
2,19050386,19050887,chr2-19050386-19050887,Stable,Stable,Closing,26,Armc3,148415,,,,,,,,
11,23189174,23189675,chr11-23189174-23189675,Stable,Closing,Closing,23,Fam161a,-181643,,,,,,,,
16,39957511,39958012,chr16-39957511-39958012,Stable,Closing,Closing,23,Lsamp,26349,,,,,,,,
3,158108418,158108919,chr3-158108418-158108919,Stable,Closing,Closing,23,Lrrc40,-71756,,,,,,,,
5,147057549,147058050,chr5-147057549-147058050,Stable,Closing,Closing,23,Rasl11a,-212478,,,,,,,,
14,15560980,15561481,chr14-15560980-15561481,Stable,Closing,Closing,23,Lrrc3b,-203465,,,,,,,,
10,40551707,40552208,chr10-40551707-40552208,Stable,Closing,Closing,23,Ddo,77803,,,,,,,,
2,121628170,121628671,chr2-121628170-121628671,Stable,Closing,Closing,23,Frmd5,-82641,,,,,,,,
16,45765972,45766473,chr16-45765972-45766473,Stable,Closing,Closing,23,Tagln3,-54742,,,,,,,,
6,119579179,119579680,chr6-119579179-119579680,Stable,Closing,Closing,23,Adipor2,-226029,,,,,,,,
9,8156981,8157482,chr9-8156981-8157482,Stable,Closing,Closing,23,Cep126,-80520,,,,,,,,
5,149392045,149392546,chr5-149392045-149392546,Stable,Closing,Closing,23,Hsph1,221741,,,,,,,,
2,17117309,17117810,chr2-17117309-17117810,Stable,Closing,Closing,23,Nebl,226099,,,,,,,,
3,123567329,123567830,chr3-123567329-123567830,Stable,Closing,Closing,23,Prss12,-120416,,,,,,,,
14,79216379,79216880,chr14-79216379-79216880,Stable,Closing,Closing,23,Rgcc,71876,,,,,,,,
13,25312188,25312689,chr13-25312188-25312689,Stable,Closing,Closing,23,Nrsn1,-60148,,,,,,,,
11,106930359,106930860,chr11-106930359-106930860,Stable,Closing,Closing,23,1810010H24Rik,94821,,,,,,,,
6,66478263,66478764,chr6-66478263-66478764,Stable,Closing,Closing,23,Gm31520,-214108,,,,,,,,
12,111938589,111939231,chr12-111938589-111939231,Stable,Closing,Closing,23,Aspg,167448,,,,,,,,
6,5287901,5288402,chr6-5287901-5288402,Stable,Closing,Closing,23,Pon2,-23754,,,,,,,,
4,132014099,132014738,chr4-132014099-132014738,Stable,Closing,Closing,23,Ptpru,-245642,,,,,,,,
7,131011849,131012350,chr7-131011849-131012350,Stable,Closing,Closing,23,Htra1,-75738,,,,,,,,
18,69915859,69916360,chr18-69915859-69916360,Stable,Closing,Closing,23,Rab27b,62771,,,,,,,,
15,92293782,92294283,chr15-92293782-92294283,Stable,Closing,Closing,23,Pdzrn4,102598,,,Cntn1,-242617,,,,
10,71147022,71147523,chr10-71147022-71147523,Stable,Closing,Closing,23,Cisd1,182957,,,,,,,,
4,53316079,53316580,chr4-53316079-53316580,Stable,Closing,Closing,23,Slc44a1,123833,,,,,,,,
5,148464408,148464909,chr5-148464408-148464909,Stable,Closing,Closing,23,Slc7a1,-136998,,,,,,,,
17,43455026,43455527,chr17-43455026-43455527,Stable,Closing,Closing,23,Ankrd66,78661,,,,,,,,
6,54203308,54203809,chr6-54203308-54203809,Stable,Closing,Closing,23,Chn2,-163754,,,,,,,,
14,19999323,19999824,chr14-19999323-19999824,Stable,Closing,Closing,23,Nid2,-248058,,,,,,,,
7,89852576,89853077,chr7-89852576-89853077,Stable,Closing,Closing,23,Ccdc81,13071,,,Me3,-220184,,,,
8,123187934,123188435,chr8-123187934-123188435,Stable,Closing,Closing,23,Spata33,24397,,,,,,,,
18,59247639,59248140,chr18-59247639-59248140,Stable,Closing,Closing,23,Minar2,-185391,,,,,,,,
11,84027165,84027666,chr11-84027165-84027666,Stable,Closing,Closing,23,Dusp14,20375,,,,,,,,
6,58668583,58669084,chr6-58668583-58669084,Stable,Closing,Closing,23,Nap1l5,236149,,,,,,,,
5,98455716,98456217,chr5-98455716-98456217,Stable,Closing,Closing,23,Cfap299,-126412,,,,,,,,
14,20246879,20247380,chr14-20246879-20247380,Stable,Closing,Closing,23,Cfap70,146813,,,,,,,,
11,53795911,53796412,chr11-53795911-53796412,Stable,Closing,Closing,23,Slc22a5,68130,,,Slc22a4,186711,,,,
1,187236453,187237075,chr1-187236453-187237075,Stable,Closing,Closing,23,Spata17,-191805,,,,,,,,
11,10980313,10980814,chr11-10980313-10980814,Stable,Closing,Closing,23,Vwc2,133409,,,,,,,,
12,24844157,24844658,chr12-24844157-24844658,Stable,Closing,Closing,23,Kidins220,130267,,,,,,,,
6,136938573,136939074,chr6-136938573-136939074,Stable,Closing,Closing,23,Mgp,-66138,,,,,,,,
2,148192911,148193412,chr2-148192911-148193412,Stable,Closing,Closing,23,Cd93,243228,,,,,,,,
18,31457763,31458264,chr18-31457763-31458264,Stable,Closing,Closing,23,Syt4,-19955,,,,,,,,
13,6666824,6667325,chr13-6666824-6667325,Stable,Closing,Closing,23,Pfkp,-87056,,,,,,,,
19,58866629,58867130,chr19-58866629-58867130,Stable,Closing,Closing,23,Shtn1,106226,,,,,,,,
18,31430079,31430580,chr18-31430079-31430580,Stable,Closing,Closing,23,Syt4,7228,,,,,,,,
18,46357887,46358388,chr18-46357887-46358388,Stable,Closing,Closing,23,Trim36,-192587,,,,,,,,
13,96510521,96511022,chr13-96510521-96511022,Stable,Closing,Closing,23,Poc5,-122227,,,,,,,,
1,59580263,59580764,chr1-59580263-59580764,Stable,Closing,Closing,23,Gm973,-63999,,,,,,,,
13,6492952,6493453,chr13-6492952-6493453,Stable,Closing,Closing,23,Pfkp,86315,,,,,,,,
14,14557579,14558080,chr14-14557579-14558080,Stable,Closing,Closing,23,Nek10,245335,,,,,,,,
3,28133967,28134468,chr3-28133967-28134468,Stable,Closing,Closing,23,Tnik,128746,,,,,,,,
1,64667151,64667652,chr1-64667151-64667652,Stable,Closing,Closing,23,Fzd5,62906,,,,,,,,
12,66437989,66438490,chr12-66437989-66438490,Stable,Closing,Closing,23,Mdga2,27570,,,,,,,,
3,60976785,60977286,chr3-60976785-60977286,Stable,Closing,Closing,23,P2ry1,25509,,,,,,,,
6,121536244,121536945,chr6-121536244-121536945,Stable,Closing,Closing,23,Iqsec3,-163311,,,,,,,,
13,41474362,41474863,chr13-41474362-41474863,Stable,Closing,Closing,23,Nedd9,-164781,,,,,,,,
3,28359135,28359636,chr3-28359135-28359636,Stable,Closing,Closing,23,Tnik,-95921,,,,,,,,
9,50756640,50757141,chr9-50756640-50757141,Stable,Closing,Closing,23,1110032A03Rik,5687,,,Pih1d2,-139319,,,,
7,89717549,89718050,chr7-89717549-89718050,Stable,Closing,Closing,23,Me3,-85157,,,Ccdc81,148098,Prss23,-209766,,
4,98847019,98847520,chr4-98847019-98847520,Stable,Closing,Closing,23,Kank4,-92121,,,,,,,,
14,15476953,15477454,chr14-15476953-15477454,Stable,Closing,Closing,23,Lrrc3b,-119438,,,,,,,,
15,55472516,55473017,chr15-55472516-55473017,Stable,Closing,Closing,23,Col14a1,-164766,,,,,,,,
9,8142212,8142713,chr9-8142212-8142713,Stable,Closing,Closing,23,Cep126,-65751,,,,,,,,
4,98656545,98657046,chr4-98656545-98657046,Stable,Closing,Closing,23,Kank4,97852,,,,,,,,
18,60897650,60898151,chr18-60897650-60898151,Stable,Closing,Closing,23,Rps14,-150552,,,,,,,,
11,50439741,50440242,chr11-50439741-50440242,Stable,Closing,Closing,23,Adamts2,161842,,,,,,,,
1,17655592,17656093,chr1-17655592-17656093,Stable,Stable,Closing,26,Pi15,-53691,,,,,,,,
12,101922317,101922818,chr12-101922317-101922818,Stable,Closing,Closing,23,Fbln5,-175752,,,,,,,,
4,34021393,34021894,chr4-34021393-34021894,Stable,Closing,Closing,23,Cnr1,-96800,,,,,,,,
13,9660646,9661333,chr13-9660646-9661333,Stable,Closing,Closing,23,Chrm3,214153,,,,,,,,
