Chr,Start,End,Peak-name,T1-vs-T0 Peak Status,T2-vs-T1 Peak Status,T2-vs-T0 Peak Status,Overall Trend,Gene symbol - closest DE gene,Distance to nearest DE gene,Peak class for CLOSEST DE gene,upstream or downstream,OTHER DE genes within 250kb,Distance to nearest DE gene,OTHER DE genes within 250kb,Distance to nearest DE gene
13,103963095,103963596,chr13-103963095-103963596,Stable,Closing,Closing,23,Erbin,-144308,,,,,,
15,66687565,66688066,chr15-66687565-66688066,Stable,Closing,Closing,23,Ndrg1,241252,,,,,,
12,40175121,40175622,chr12-40175121-40175622,Stable,Stable,Closing,26,Ifrd1,25945,,,,,,
6,134608897,134609483,chr6-134608897-134609483,Stable,Closing,Closing,23,Crebl2,220671,,,,,,
3,97776198,97776699,chr3-97776198-97776699,Stable,Closing,Closing,23,Pde4dip,-86374,,,,,,
11,106845984,106846485,chr11-106845984-106846485,Stable,Closing,Closing,23,Pecam1,-191767,,,,,,
13,40900305,40900972,chr13-40900305-40900972,Stable,Closing,Closing,23,Gcnt2,-40551,,,,,,
14,102880720,102881221,chr14-102880720-102881221,Stable,Closing,Closing,23,Cln5,188995,,,,,,
13,13492133,13492634,chr13-13492133-13492634,Stable,Closing,Closing,23,Lyst,97763,,,,,,
19,46422481,46422982,chr19-46422481-46422982,Stable,Stable,Closing,26,Fbxl15,-94297,,,,,,
16,70227722,70228459,chr16-70227722-70228459,Stable,Stable,Closing,26,Gbe1,85490,,,,,,
2,12380081,12380582,chr2-12380081-12380582,Stable,Stable,Closing,26,Mindy3,-32818,,,,,,
7,138813896,138814397,chr7-138813896-138814397,Stable,Stable,Closing,26,Bnip3,76439,,,,,,
2,131401973,131402474,chr2-131401973-131402474,Stable,Stable,Closing,26,Spef1,-231712,,,,,,
18,64634098,64634717,chr18-64634098-64634717,Stable,Stable,Closing,26,Atp8b1,-105131,,,,,,
4,63982963,63983735,chr4-63982963-63983735,Stable,Closing,Closing,23,Tnc,-23178,,,,,,
1,170499765,170500266,chr1-170499765-170500266,Stable,Stable,Closing,26,Atf6,204408,,,,,,
2,12540512,12541013,chr2-12540512-12541013,Stable,Stable,Closing,26,Mindy3,-193249,,,,,,
2,12221672,12222173,chr2-12221672-12222173,Stable,Stable,Closing,26,Mindy3,125090,,,,,,
8,114679490,114679991,chr8-114679490-114679991,Stable,Stable,Closing,26,Wwox,-239835,,,,,,
13,6492907,6493588,chr13-6492907-6493588,Stable,Closing,Closing,23,Pfkp,86180,,,,,,
3,37556689,37557190,chr3-37556689-37557190,Stable,Closing,Closing,23,Cetn4,-248940,,,,,,
6,7472918,7473419,chr6-7472918-7473419,Stable,Stable,Closing,26,Asns,201750,,,,,,
14,37104730,37105231,chr14-37104730-37105231,Stable,Closing,Closing,23,Ghitm,14861,,,,,,
9,55877787,55878288,chr9-55877787-55878288,Stable,Stable,Closing,26,Pstpip1,211674,,,,,,
1,157208696,157209237,chr1-157208696-157209237,Stable,Stable,Closing,26,Rasal2,-73514,,,,,,
7,131053200,131053701,chr7-131053200-131053701,Stable,Closing,Closing,23,Plekha1,-187444,,,,,,
8,61397145,61397646,chr8-61397145-61397646,Stable,Stable,Closing,26,Palld,113787,,,,,,
3,145890312,145890813,chr3-145890312-145890813,Closing,Stable,Closing,17,Ddah1,-131637,,,,,,
7,138727232,138728187,chr7-138727232-138728187,Stable,Closing,Closing,23,Bnip3,162649,,,,,,
1,82124491,82125151,chr1-82124491-82125151,Stable,Stable,Closing,26,Rhbdd1,191301,,,,,,
9,92411994,92412645,chr9-92411994-92412645,Stable,Stable,Closing,26,Plod2,129578,,,,,,
15,60968191,60968692,chr15-60968191-60968692,Closing,Stable,Closing,17,Lratd2,-149197,,,,,,
9,92566379,92566880,chr9-92566379-92566880,Stable,Closing,Closing,23,Plod2,-24156,,,,,,
11,83448170,83448671,chr11-83448170-83448671,Stable,Closing,Closing,23,Ccl9,124248,,,,,,
9,54155159,54155660,chr9-54155159-54155660,Stable,Stable,Closing,26,Gldn,130826,,,,,,
13,64489776,64490277,chr13-64489776-64490277,Stable,Stable,Closing,26,Ctsl,-130439,,,,,,
1,78820970,78821471,chr1-78820970-78821471,Stable,Stable,Closing,26,Acsl3,-163145,,,,,,
19,40238166,40238820,chr19-40238166-40238820,Stable,Stable,Closing,26,Sorbs1,55933,,,,,,
11,113014330,113014831,chr11-113014330-113014831,Stable,Stable,Closing,26,Sox9,-232106,,,,,,
3,145802062,145803019,chr3-145802062-145803019,Stable,Stable,Closing,26,Ddah1,-43387,,,,,,
5,148180580,148181081,chr5-148180580-148181081,Stable,Stable,Closing,26,Slc7a1,146329,,,,,,
2,94066061,94066562,chr2-94066061-94066562,Stable,Stable,Closing,26,Ttc17,234205,,,,,,
10,86425667,86426168,chr10-86425667-86426168,Stable,Stable,Closing,26,Timp3,-125295,,,,,,
16,70260123,70260794,chr16-70260123-70260794,Stable,Stable,Closing,26,Gbe1,53155,,,,,,
1,170580745,170581246,chr1-170580745-170581246,Stable,Closing,Closing,23,Atf6,123428,,,,,,
18,37948799,37949300,chr18-37948799-37949300,Stable,Stable,Closing,26,Pcdh1,236614,,,,,,
4,141108119,141108620,chr4-141108119-141108620,Stable,Stable,Closing,26,Szrd1,4381,,,Arhgef19,130879,,
14,102859382,102859883,chr14-102859382-102859883,Stable,Stable,Closing,26,Cln5,210333,,,,,,
1,78761045,78761546,chr1-78761045-78761546,Stable,Stable,Closing,26,Acsl3,-103220,,,,,,
4,148490487,148490988,chr4-148490487-148490988,Stable,Closing,Closing,23,Tardbp,121394,,,,,,
18,64684881,64685382,chr18-64684881-64685382,Stable,Stable,Closing,26,Atp8b1,-155914,,,,,,
3,10140056,10140557,chr3-10140056-10140557,Stable,Stable,Closing,26,Fabp4,63531,,,,,,
1,156781055,156781556,chr1-156781055-156781556,Stable,Stable,Closing,26,Tor3a,-127438,,,,,,
9,79439498,79439999,chr9-79439498-79439999,Stable,Stable,Closing,26,Col12a1,158992,,,,,,
2,58533480,58533981,chr2-58533480-58533981,Stable,Stable,Closing,26,Acvr1,-144836,,,,,,
3,126359715,126360216,chr3-126359715-126360216,Stable,Stable,Closing,26,Camk2d,236086,,,,,,
3,10151476,10151977,chr3-10151476-10151977,Stable,Closing,Closing,23,Fabp4,52111,,,,,,
7,35036209,35036710,chr7-35036209-35036710,Stable,Closing,Closing,23,Cebpg,9712,,,,,,
2,11365364,11365865,chr2-11365364-11365865,Stable,Closing,Closing,23,Pfkfb3,105568,,,,,,
3,41160111,41160612,chr3-41160111-41160612,Stable,Closing,Closing,23,Larp1b,-210283,,,,,,
10,95864523,95865024,chr10-95864523-95865024,Stable,Closing,Closing,23,Eea1,75626,,,,,,
2,152729571,152730072,chr2-152729571-152730072,Stable,Closing,Closing,23,Cox4i2,24101,,,,,,
1,156838580,156839081,chr1-156838580-156839081,Stable,Stable,Closing,26,Tor3a,-184963,,,,,,
17,26451803,26452304,chr17-26451803-26452304,Stable,Closing,Closing,23,Rgs11,-248852,,,,,,
11,68637944,68638445,chr11-68637944-68638445,Stable,Closing,Closing,23,Ndel1,182989,,,,,,
1,39845844,39846345,chr1-39845844-39846345,Stable,Closing,Closing,23,Creg2,-227438,,,,,,
6,7463949,7464753,chr6-7463949-7464753,Stable,Stable,Closing,26,Asns,210416,,,,,,
17,7642307,7642957,chr17-7642307-7642957,Stable,Closing,Closing,23,Fndc1,95612,,,,,,
7,88296278,88296779,chr7-88296278-88296779,Stable,Stable,Closing,26,Rab38,133494,,,,,,
8,33902517,33903018,chr8-33902517-33903018,Stable,Stable,Closing,26,Leprotl1,232554,,,,,,
11,109244479,109245096,chr11-109244479-109245096,Stable,Stable,Closing,26,Gna13,117735,,,,,,
6,134602389,134602890,chr6-134602389-134602890,Stable,Stable,Closing,26,Crebl2,227264,,,,,,
8,25343069,25343760,chr8-25343069-25343760,Stable,Stable,Closing,26,Fgfr1,169894,,,,,,
3,122046172,122046673,chr3-122046172-122046673,Stable,Stable,Closing,26,Arhgap29,-93631,,,Bcar3,247463,,
1,82112187,82112688,chr1-82112187-82112688,Stable,Stable,Closing,26,Rhbdd1,203764,,,,,,
1,39838702,39839203,chr1-39838702-39839203,Stable,Stable,Closing,26,Creg2,-220296,,,,,,
9,58158443,58159245,chr9-58158443-58159245,Stable,Stable,Closing,26,Sema7a,-218331,,,,,,
1,34665090,34666671,chr1-34665090-34666671,Stable,Stable,Closing,26,Plekhb2,183305,,,,,,
1,177411548,177412204,chr1-177411548-177412204,Stable,Stable,Closing,26,Zbtb18,30147,,,,,,
10,121471512,121472013,chr10-121471512-121472013,Stable,Stable,Closing,26,Xpot,115367,,,,,,
12,104560969,104561470,chr12-104560969-104561470,Stable,Closing,Closing,23,Serpina3n,-154240,,,,,,
16,50001617,50002305,chr16-50001617-50002305,Stable,Stable,Closing,26,Cd47,-201084,,,,,,
7,142440502,142441003,chr7-142440502-142441003,Stable,Stable,Closing,26,Ifitm10,-114665,,,,,,
11,105749284,105749785,chr11-105749284-105749785,Stable,Stable,Closing,26,Cyb561,183917,,,,,,
3,97666850,97667542,chr3-97666850-97667542,Stable,Stable,Closing,26,Pde4dip,22282,,,,,,
19,36696431,36696932,chr19-36696431-36696932,Stable,Stable,Closing,26,Ppp1r3c,34799,,,,,,
6,129479934,129480877,chr6-129479934-129480877,Stable,Stable,Closing,26,Gabarapl1,52283,,,,,,
1,176986841,176987499,chr1-176986841-176987499,Stable,Stable,Closing,26,Sdccag8,-172181,,,,,,
7,126487035,126487536,chr7-126487035-126487536,Stable,Stable,Closing,26,Apobr,97406,,,Nupr1,135713,,
16,26041417,26042249,chr16-26041417-26042249,Stable,Stable,Closing,26,P3h2,-82129,,,,,,
13,64235062,64235648,chr13-64235062-64235648,Stable,Stable,Closing,26,Ctsl,123689,,,,,,
9,20642454,20642955,chr9-20642454-20642955,Stable,Stable,Closing,26,Angptl6,230853,,,,,,
5,105410546,105411189,chr5-105410546-105411189,Stable,Stable,Closing,26,Lrrc8c,108199,,,,,,
7,100932285,100932937,chr7-100932285-100932937,Stable,Stable,Closing,26,P2ry2,63631,,,,,,
6,90988499,90989269,chr6-90988499-90989269,Stable,Stable,Closing,26,Fbln2,223186,,,,,,
11,68623432,68623933,chr11-68623432-68623933,Stable,Stable,Closing,26,Ndel1,197501,,,,,,
10,115384603,115385104,chr10-115384603-115385104,Stable,Stable,Closing,26,Rab21,-97519,,,,,,
13,13437224,13439050,chr13-13437224-13439050,Stable,Stable,Closing,26,Lyst,151347,,,,,,
2,173352132,173352776,chr2-173352132-173352776,Stable,Stable,Closing,26,Pmepa1,-127674,,,,,,
10,96188126,96188627,chr10-96188126-96188627,Stable,Stable,Closing,26,Eea1,-247476,,,,,,
2,131209969,131210470,chr2-131209969-131210470,Stable,Stable,Closing,26,Spef1,-39708,,,,,,
1,160194896,160195397,chr1-160194896-160195397,Stable,Stable,Closing,26,Tnn,-109867,,,4930523C07Rik,-150514,,
2,173334624,173335307,chr2-173334624-173335307,Stable,Stable,Closing,26,Pmepa1,-110166,,,,,,
9,20642958,20643459,chr9-20642958-20643459,Stable,Stable,Closing,26,Angptl6,230349,,,,,,
6,72711389,72711890,chr6-72711389-72711890,Stable,Stable,Closing,26,Tgoln1,-102957,,,,,,
1,72254638,72255664,chr1-72254638-72255664,Stable,Stable,Closing,26,4-Mar,171448,,,,,,
17,35813076,35813577,chr17-35813076-35813577,Stable,Stable,Opening,25,H2-T23,216196,,,,,,
7,130964660,130965161,chr7-130964660-130965161,Stable,Stable,Opening,25,Plekha1,-98904,,,,,,
13,64153878,64154379,chr13-64153878-64154379,Stable,Stable,Opening,25,Ctsl,204958,,,,,,
13,9191151,9191652,chr13-9191151-9191652,Stable,Stable,Opening,25,Dip2c,84876,,,Larp4b,-97270,,
4,45472831,45473480,chr4-45472831-45473480,Stable,Stable,Opening,25,Slc25a51,-76908,,,,,,
4,149979705,149980206,chr4-149979705-149980206,Stable,Stable,Opening,25,Spsb1,-83422,,,,,,
17,23675307,23676018,chr17-23675307-23676018,Stable,Stable,Opening,25,Tnfrsf12a,0,,,,,,
18,4715981,4716669,chr18-4715981-4716669,Stable,Stable,Opening,25,Jcad,-81103,,,,,,
14,70106574,70107464,chr14-70106574-70107464,Stable,Stable,Opening,25,Slc39a14,196005,,,,,,
8,25274246,25275464,chr8-25274246-25275464,Stable,Stable,Opening,25,Fgfr1,238190,,,,,,
6,125423901,125424506,chr6-125423901-125424506,Stable,Stable,Opening,25,Cd9,35760,,,,,,
1,179862929,179863650,chr1-179862929-179863650,Stable,Stable,Opening,25,Cdc42bpa,96822,,,,,,
15,85598969,85599470,chr15-85598969-85599470,Stable,Stable,Opening,25,Cdpf1,207502,,,,,,
10,83337117,83338054,chr10-83337117-83338054,Stable,Stable,Opening,25,Slc41a2,-106269,,,Aldh1l2,149396,,
1,82586761,82587262,chr1-82586761-82587262,Stable,Stable,Opening,25,Col4a3,0,,,,,,
16,4647541,4648117,chr16-4647541-4648117,Stable,Stable,Opening,25,Dnaja3,-7552,,,,,,
1,159889345,159889846,chr1-159889345-159889846,Stable,Stable,Opening,25,4930523C07Rik,154536,,,Tnn,195183,,
6,146959901,146960402,chr6-146959901-146960402,Stable,Stable,Opening,25,Ppfibp1,-71414,,,,,,
10,24596126,24597390,chr10-24596126-24597390,Stable,Opening,Opening,19,Ccn2,-684,,,Enpp1,40524,,
3,145614598,145615099,chr3-145614598-145615099,Stable,Stable,Opening,25,Ddah1,143576,,,,,,
10,60355185,60355686,chr10-60355185-60355686,Stable,Stable,Opening,25,Vsir,-8334,,,,,,
9,20760723,20761224,chr9-20760723-20761224,Stable,Stable,Opening,25,Angptl6,112584,,,,,,
10,77624438,77624939,chr10-77624438-77624939,Stable,Stable,Opening,25,Pttg1ip,-42718,,,,,,
7,113260360,113260861,chr7-113260360-113260861,Stable,Stable,Opening,25,Arntl,-52895,,,,,,
15,86168327,86168828,chr15-86168327-86168828,Stable,Stable,Opening,25,Cerk,-29199,,,,,,
14,47533446,47533947,chr14-47533446-47533947,Stable,Stable,Opening,25,Lgals3,-165695,,,,,,
7,98171087,98171588,chr7-98171087-98171588,Stable,Stable,Opening,25,Myo7a,-120027,,,,,,
4,149822130,149822800,chr4-149822130-149822800,Stable,Stable,Opening,25,Spsb1,73483,,,,,,
10,24447094,24447595,chr10-24447094-24447595,Stable,Stable,Opening,25,Ccn2,147847,,,Enpp1,190319,,
13,40921224,40921725,chr13-40921224-40921725,Stable,Stable,Opening,25,Gcnt2,-61470,,,,,,
10,24444721,24445351,chr10-24444721-24445351,Stable,Stable,Opening,25,Ccn2,150091,,,Enpp1,192563,,
12,8436512,8437013,chr12-8436512-8437013,Stable,Stable,Opening,25,Rhob,60648,,,,,,
16,45366705,45367343,chr16-45366705-45367343,Stable,Stable,Opening,25,Cd200,14792,,,,,,
6,108444430,108444931,chr6-108444430-108444931,Stable,Stable,Opening,25,Bhlhe40,215698,,,,,,
8,14992689,14993190,chr8-14992689-14993190,Stable,Stable,Opening,25,Kbtbd11,17835,,,,,,
4,141076077,141076578,chr4-141076077-141076578,Stable,Stable,Opening,25,Szrd1,36423,,,Arhgef19,162921,,
15,67116674,67117175,chr15-67116674-67117175,Stable,Stable,Opening,25,Ndrg1,-187356,,,,,,
1,134082847,134083348,chr1-134082847-134083348,Stable,Stable,Opening,25,Chil1,98828,,,,,,
9,108796495,108797161,chr9-108796495-108797161,Stable,Stable,Opening,25,Shisa5,241404,,,,,,
10,83152159,83152660,chr10-83152159-83152660,Stable,Stable,Opening,25,Slc41a2,78188,,,Chst11,-166661,,
4,83342929,83344189,chr4-83342929-83344189,Stable,Stable,Opening,25,Ttc39b,-122629,,,,,,
18,60480955,60481456,chr18-60480955-60481456,Stable,Stable,Opening,25,Smim3,-6764,,,,,,
1,134651259,134652010,chr1-134651259-134652010,Stable,Stable,Opening,25,Adipor1,-235881,,,Cyb5r1,-245700,,
1,156450407,156450908,chr1-156450407-156450908,Stable,Stable,Opening,25,Tor3a,202709,,,,,,
10,78360309,78360810,chr10-78360309-78360810,Stable,Stable,Opening,25,Pdxk,75934,,,,,,
7,141540517,141541018,chr7-141540517-141541018,Stable,Stable,Opening,25,Cd151,-73125,,,,,,
8,122234047,122234548,chr8-122234047-122234548,Stable,Stable,Opening,25,Zfp469,24072,,,,,,
7,142430264,142430765,chr7-142430264-142430765,Stable,Stable,Opening,25,Ifitm10,-104427,,,,,,
5,122653720,122654407,chr5-122653720-122654407,Stable,Stable,Opening,25,P2rx4,53137,,,,,,
9,50885143,50885644,chr9-50885143-50885644,Stable,Stable,Opening,25,Layn,168996,,,,,,
12,69474879,69475380,chr12-69474879-69475380,Stable,Stable,Opening,25,Klhdc1,-233703,,,,,,
2,173218750,173219466,chr2-173218750-173219466,Stable,Stable,Opening,25,Pmepa1,4992,,,,,,
6,72473489,72473990,chr6-72473489-72473990,Stable,Stable,Opening,25,Vamp5,-104695,,,Tgoln1,134442,,
15,57906605,57907106,chr15-57906605-57907106,Stable,Stable,Opening,25,Derl1,-37103,,,,,,
4,119121180,119121681,chr4-119121180-119121681,Stable,Stable,Opening,25,Slc2a1,-12469,,,,,,
8,34224953,34225454,chr8-34224953-34225454,Stable,Stable,Opening,25,Saraf,-70378,,,Leprotl1,-89381,,
4,155215898,155216399,chr4-155215898-155216399,Stable,Stable,Opening,25,Morn1,-129321,,,,,,
19,8997507,8998008,chr19-8997507-8998008,Stable,Stable,Opening,25,Ahnak,-8223,,,,,,
19,9027732,9028233,chr19-9027732-9028233,Stable,Stable,Opening,25,Ahnak,-38448,,,,,,
15,96933378,96933879,chr15-96933378-96933879,Stable,Stable,Opening,25,Slc38a2,-245986,,,,,,
2,72077984,72078485,chr2-72077984-72078485,Stable,Stable,Opening,25,Rapgef4,-96744,,,Pdk1,-204760,,
18,60736570,60737071,chr18-60736570-60737071,Stable,Stable,Opening,25,Rps14,10027,,,,,,
7,25707573,25708074,chr7-25707573-25708074,Stable,Stable,Opening,25,Tgfb1,-20571,,,,,,
2,32629360,32629861,chr2-32629360-32629861,Stable,Stable,Opening,25,Lcn2,-244727,,,,,,
8,121901815,121902316,chr8-121901815-121902316,Stable,Stable,Opening,25,Slc7a5,-20665,,,,,,
7,142084696,142085197,chr7-142084696-142085197,Stable,Stable,Opening,25,Ifitm10,240640,,,,,,
18,60632583,60633222,chr18-60632583-60633222,Opening,Stable,Opening,7,Rps14,113876,,,Smim3,-158392,,
3,90537109,90537736,chr3-90537109-90537736,Stable,Stable,Opening,25,S100a1,-26075,,,,,,
4,57153421,57153922,chr4-57153421-57153922,Stable,Stable,Opening,25,Ptpn3,36919,,,,,,
12,32995075,32995866,chr12-32995075-32995866,Stable,Stable,Opening,25,Nampt,-175530,,,,,,
8,122144735,122145236,chr8-122144735-122145236,Stable,Stable,Opening,25,Zfp469,113384,,,,,,
1,133978457,133978958,chr1-133978457-133978958,Stable,Stable,Opening,25,Chil1,203218,,,,,,
11,74526604,74527105,chr11-74526604-74527105,Stable,Stable,Opening,25,Rap1gap2,-143248,,,,,,
6,85349186,85349687,chr6-85349186-85349687,Stable,Stable,Opening,25,Rab11fip5,-14224,,,,,,
1,135169677,135170178,chr1-135169677-135170178,Stable,Stable,Opening,25,Gpr37l1,-9443,,,,,,
8,15002253,15002895,chr8-15002253-15002895,Stable,Stable,Opening,25,Kbtbd11,8130,,,,,,
12,98249670,98250171,chr12-98249670-98250171,Stable,Stable,Opening,25,Galc,-47376,,,,,,
2,11458372,11458873,chr2-11458372-11458873,Stable,Stable,Opening,25,Pfkfb3,12560,,,,,,
2,173251098,173252066,chr2-173251098-173252066,Stable,Stable,Opening,25,Pmepa1,-26640,,,,,,
11,86580174,86580675,chr11-86580174-86580675,Stable,Stable,Opening,25,Rnft1,-95517,,,,,,
6,108692909,108693410,chr6-108692909-108693410,Stable,Stable,Opening,25,Bhlhe40,-32280,,,,,,
2,23034631,23035351,chr2-23034631-23035351,Stable,Stable,Opening,25,Acbd5,32816,,,,,,
19,6297580,6298081,chr19-6297580-6298081,Stable,Stable,Opening,25,Arl2,-163206,,,,,,
15,27495928,27496429,chr15-27495928-27496429,Stable,Stable,Opening,25,Ank,-29251,,,,,,
16,5661837,5662338,chr16-5661837-5662338,Stable,Stable,Opening,25,Rbfox1,223017,,,,,,
13,103977582,103978886,chr13-103977582-103978886,Stable,Stable,Opening,25,Erbin,-158795,,,,,,
6,91076127,91076683,chr6-91076127-91076683,Stable,Stable,Opening,25,Fbln2,135772,,,,,,
6,125468033,125468534,chr6-125468033-125468534,Stable,Opening,Opening,19,Cd9,-7767,,,,,,
13,40913987,40914488,chr13-40913987-40914488,Stable,Stable,Opening,25,Gcnt2,-54233,,,,,,
2,58580049,58580710,chr2-58580049-58580710,Stable,Stable,Opening,25,Acvr1,-191405,,,,,,
